brand,model,field
aventon,Level 4 ADV Ebike,motor_w
aventon,Level 4 ADV Step-Through Ebike,motor_w
aventon,Ramblas ADV Ebike,rack_load_lb
blix,Packa Genie Cargo eBike,max_speed_mph
blix,Packa Genie Cargo eBike,torque_nm
blix,Packa Genie Cargo eBike — Dual Battery,max_speed_mph
blix,Packa Genie Cargo eBike — Dual Battery,torque_nm
buzz,Beekeeper Cargo Ebike,frame_material
buzz,Beekeeper Cargo Ebike,sensor_type
buzz,Beekeeper Cargo Ebike,suspension
buzz,Centris 2 Folding Ebike,frame_material
buzz,Centris 2 Folding Ebike,rack_load_lb
buzz,Centris 2 Folding Ebike,sensor_type
buzz,Cerana 2 Commuter Ebike,frame_material
buzz,Cerana 2 Commuter Ebike,rack_load_lb
buzz,Cerana 2 Commuter Ebike,torque_nm
buzz,Cerana T2 Etrike,frame_material
buzz,Cerana T2 Etrike,rack_load_lb
buzz,Cerana T2 Etrike,suspension
buzz,Cerana T2 Etrike,weight_lb
cannondale,Adventure Neo 4,max_load_lb
cannondale,Adventure Neo Allroad,max_load_lb
cannondale,Adventure Neo Allroad,sensor_type
cannondale,Adventure Neo Allroad,torque_nm
cannondale,Adventure Neo Allroad EQ,max_load_lb
cannondale,Adventure Neo Allroad EQ,torque_nm
cannondale,Adventure Neo Allroad EQ Low StepThru,max_load_lb
cannondale,Adventure Neo Allroad EQ Low StepThru,torque_nm
cannondale,Adventure Neo Allroad Low StepThru,max_load_lb
cannondale,Adventure Neo Allroad Low StepThru,sensor_type
cannondale,Adventure Neo Allroad Low StepThru,torque_nm
cannondale,Adventure Neo Allroad Speed,max_load_lb
cannondale,Adventure Neo Allroad Speed,torque_nm
cannondale,Adventure Neo Allroad Speed Low StepThru,max_load_lb
cannondale,Adventure Neo Allroad Speed Low StepThru,torque_nm
cannondale,FlyingV,max_load_lb
cannondale,FlyingV,range_mi
cannondale,Mavaro Neo 1 Low StepThru,max_load_lb
cannondale,Mavaro Neo 2 Low StepThru,max_load_lb
cannondale,Mavaro Neo 3 Low StepThru,max_load_lb
cannondale,Moterra 1,max_load_lb
cannondale,Moterra 1,max_speed_mph
cannondale,Moterra 1,range_mi
cannondale,Moterra 2,max_load_lb
cannondale,Moterra 2,max_speed_mph
cannondale,Moterra 2,range_mi
cannondale,Moterra 3,max_load_lb
cannondale,Moterra 3,max_speed_mph
cannondale,Moterra 3,range_mi
cannondale,Moterra 4,max_load_lb
cannondale,Moterra 4,max_speed_mph
cannondale,Moterra 4,range_mi
cannondale,Moterra 4 Plus,max_load_lb
cannondale,Moterra 4 Plus,max_speed_mph
cannondale,Moterra 4 Plus,range_mi
cannondale,Moterra LT 1,max_load_lb
cannondale,Moterra LT 1,max_speed_mph
cannondale,Moterra LT 1,range_mi
cannondale,Moterra Neo Carbon 2,max_load_lb
cannondale,Moterra Neo Carbon 2,max_speed_mph
cannondale,Moterra Neo Carbon 2,range_mi
cannondale,Moterra SL 1,max_load_lb
cannondale,Moterra SL 1,max_speed_mph
cannondale,Moterra SL 1,range_mi
cannondale,Moterra SL 2,max_load_lb
cannondale,Moterra SL 2,max_speed_mph
cannondale,Moterra SL 2,range_mi
cannondale,Moterra SL LAB71,max_load_lb
cannondale,Moterra SL LAB71,max_speed_mph
cannondale,Moterra SL LAB71,range_mi
cannondale,Synapse Neo,max_load_lb
cannondale,Synapse Neo,range_mi
cannondale,Synapse Neo Allroad 1,max_load_lb
cannondale,Synapse Neo Allroad 1,range_mi
cannondale,Synapse Neo Allroad 2,max_load_lb
cannondale,Synapse Neo Allroad 2,range_mi
cannondale,Tesoro Neo Carbon 1,max_load_lb
cannondale,Tesoro Neo Carbon 1,range_mi
cannondale,Tesoro Neo Carbon 2,max_load_lb
cannondale,Tesoro Neo Carbon 2,range_mi
cannondale,Tesoro Neo X 1,max_load_lb
cannondale,Tesoro Neo X 1 StepThru,max_load_lb
cannondale,Tesoro Neo X 2,max_load_lb
cannondale,Tesoro Neo X 2 StepThru,max_load_lb
cannondale,Tesoro Neo X 3,max_load_lb
cannondale,Treadwell Neo 2,max_load_lb
cannondale,Treadwell Neo 2,max_speed_mph
cannondale,Treadwell Neo 2,torque_nm
cannondale,Treadwell Neo 2 EQ,max_load_lb
cannondale,Treadwell Neo 2 EQ,max_speed_mph
cannondale,Treadwell Neo 2 EQ,torque_nm
cannondale,Treadwell Neo 2 Remixte,max_load_lb
cannondale,Treadwell Neo 2 Remixte,max_speed_mph
